,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,Adam,2,40,0.0,0.01,10,0.6992155577173901,0.47664971045297955,0.5311127277499497,0.8174608170202052,0.7588967451644948,0.7870909090909091
1,Adam,2,40,0.0,0.001,10,0.5639291859484084,0.379006691438305,0.4328560702742472,0.836478423754683,0.704552094898615,0.7648682082024931
2,Adam,2,40,0.1,0.01,10,0.6338513061843741,0.43578570019834295,0.4929813923213764,0.8219616887692998,0.7497224332378893,0.7841818959721288
3,Adam,2,40,0.1,0.001,10,0.5563168257126838,0.37287346336591176,0.4233291566868622,0.8389144690944608,0.7026821714486063,0.7647788342290202
4,Adam,2,40,0.2,0.01,10,0.6558661335821361,0.4732952183157902,0.5271539670399069,0.8307224236147074,0.7498977385613277,0.788243604311907
5,Adam,2,40,0.2,0.001,10,0.5805813892849682,0.39362673473062154,0.44606280389449443,0.8345920936245492,0.7167650324314848,0.7712040238918579
6,Adam,2,80,0.0,0.01,10,0.7433005802039652,0.5530827225334587,0.6098193403975235,0.8262973267206968,0.7983404429381172,0.8120783427943057
7,Adam,2,80,0.0,0.001,10,0.6045695215337507,0.433363126396963,0.4881460110233599,0.8429525718102873,0.737392625489394,0.7866471339961973
8,Adam,2,80,0.1,0.01,10,0.7381181136428577,0.5278528868194783,0.5877920439262087,0.8272097160031896,0.788055863963069,0.8071582475460858
9,Adam,2,80,0.1,0.001,10,0.585904489453225,0.4223613427868958,0.4742501621171518,0.8438136629091403,0.7261146496815286,0.7805521530198812
10,Adam,2,80,0.2,0.01,10,0.6915895252906418,0.5397225539533831,0.5828068424135254,0.8249240121580547,0.7929644130193421,0.808628549295355
11,Adam,2,80,0.2,0.001,10,0.5807121143527612,0.414877903010866,0.46741106181681324,0.8346849242222814,0.7337696488050021,0.7809808128867743
12,Adam,2,120,0.0,0.01,10,0.7035978599234199,0.564493630715556,0.6072525705672176,0.8203946591043365,0.8114299070881785,0.8158876582743324
13,Adam,2,120,0.0,0.001,10,0.6424973876484259,0.4534051639378489,0.5089911346856664,0.8403669724770643,0.7493718225910126,0.7922651592376364
14,Adam,2,120,0.1,0.01,10,0.7092472043603452,0.584567096862904,0.623003647705056,0.8174463594794231,0.8148191433413194,0.8161306370899301
15,Adam,2,120,0.1,0.001,10,0.6429140202753808,0.4553786230353849,0.5128066000567699,0.8368424441439701,0.7594810962426226,0.7962872197034678
16,Adam,2,120,0.2,0.01,10,0.7027761555078824,0.566522224796037,0.6056025498520353,0.8306007622965697,0.8022555951615731,0.816182153260805
17,Adam,2,120,0.2,0.001,10,0.6163144867277558,0.4600000272497437,0.5112669422222913,0.8370021302691886,0.7576696079004266,0.7953625322046375
18,Adam,3,40,0.0,0.01,10,0.6406812352859979,0.4748580911669382,0.5162496955380648,0.8233521657250471,0.7664348740723427,0.7938746481856975
19,Adam,3,40,0.0,0.001,10,0.5838497569788635,0.3904419152531719,0.43831145308447167,0.8347212044500699,0.7321919008940572,0.7801021043456605
20,Adam,3,40,0.1,0.01,10,0.5909828472010776,0.37270042682703647,0.42669464002055996,0.8392560840707964,0.7093437737392625,0.7688507457959908
21,Adam,3,40,0.1,0.001,10,0.569251934468534,0.36827455500032086,0.41924132440000916,0.8375093365926529,0.7207386197627534,0.7747487437185929
22,Adam,3,40,0.2,0.01,10,0.5642265957752478,0.32136009975842356,0.3724303785686301,0.8245626119300179,0.6995266756267166,0.7569156839809048
23,Adam,3,40,0.2,0.001,10,0.5632961593675767,0.32923540573693527,0.38552178852970775,0.8478540772532189,0.6926313329048092,0.7624224101887885
24,Adam,3,80,0.0,0.01,10,0.7114556494593113,0.502727720710215,0.5565924602231641,0.8377239861678717,0.7785893764973997,0.8070749288267005
25,Adam,3,80,0.0,0.001,10,0.6009682013432561,0.42583006174778537,0.4771277742265509,0.8353824252620681,0.7543972418629112,0.7928270949120275
26,Adam,3,80,0.1,0.01,10,0.6695163448905136,0.48562102308412025,0.5368071084183149,0.8090930730778386,0.7944837258224742,0.8017218503995047
27,Adam,3,80,0.1,0.001,10,0.6264591491796714,0.4388633496617116,0.491281826056926,0.8277155900193859,0.7734470870098755,0.7996616723054615
28,Adam,3,80,0.2,0.01,10,0.6383205362712677,0.45417750130547174,0.5017472257039945,0.8347123464770524,0.7545725471863496,0.7926219194058252
29,Adam,3,80,0.2,0.001,10,0.5720999008093292,0.42156020552929174,0.46852958916322024,0.8357392686804451,0.7679541868754748,0.8004141543333942
30,Adam,3,120,0.0,0.01,10,0.7199288789305404,0.5337906592259457,0.5832372482736092,0.8356833991351758,0.7792321626833402,0.8064711218627154
31,Adam,3,120,0.0,0.001,10,0.6404985795347243,0.47038850689986317,0.5187982172154908,0.8483827056459454,0.764798691053585,0.8044253226797787
32,Adam,3,120,0.1,0.01,10,0.7017844252388407,0.4949657309212838,0.5468745891168774,0.8170459346894429,0.7909776193537077,0.8038004750593823
33,Adam,3,120,0.1,0.001,10,0.6417858367054698,0.48193756405565363,0.5334808744621253,0.8294042006000857,0.7915035353240226,0.8100107642626481
34,Adam,3,120,0.2,0.01,10,0.6434798711766561,0.48725686960876047,0.5386034001240241,0.8326121041078708,0.7757844913223865,0.8031943856252647
35,Adam,3,120,0.2,0.001,10,0.6938260379047199,0.4737108142764669,0.5293497571423763,0.8310665271709028,0.7891076959036989,0.8095437923385888
