,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,SWA,2,40,0,0.001,10,0.5552274169104454,0.3744429601206763,0.42762306893367263,0.8337482710926695,0.7044936597908024,0.7636904950432332
1,SWA,2,40,0,0.01,10,0.66260018794968,0.47856819200164175,0.5302068200883926,0.812534192450307,0.7811020861333489,0.7965081635085212
2,SWA,2,40,0.1,0.001,10,0.5619960666871603,0.37753385372762516,0.43283858125379204,0.8429611822102807,0.6966633553438906,0.7628615305861275
3,SWA,2,40,0.1,0.01,10,0.629857539015522,0.4894211384382764,0.5366015836158865,0.8227887747431721,0.7675451411207853,0.7942074553314993
4,SWA,2,40,0.2,0.001,10,0.5779368158589718,0.3880898052181665,0.4430941603734185,0.8427734375,0.7060129725939345,0.7683551146300359
5,SWA,2,40,0.2,0.01,10,0.6535591677902411,0.4509425724981551,0.5103069165426141,0.8345506717099257,0.7477940746800678,0.7887940333466885
6,SWA,2,80,0,0.001,10,0.5852626769899351,0.40701070746978074,0.4613268593247888,0.841022865647409,0.7264652603284053,0.7795579244395674
7,SWA,2,80,0,0.01,10,0.7417312149033901,0.5570068368788692,0.6113584025725394,0.8274176797605229,0.79144510021621,0.8090317185353324
8,SWA,2,80,0.1,0.001,10,0.583331746853673,0.4108156360497704,0.4618172867341483,0.8378124790563635,0.7304972827674867,0.7804832365611537
9,SWA,2,80,0.1,0.01,10,0.7198153327800842,0.5647351847189555,0.6158185586883791,0.8226984606097193,0.7963536492724829,0.8093117168477938
10,SWA,2,80,0.2,0.001,10,0.599797134562778,0.4255697107799286,0.4789272178390896,0.8443724258996692,0.7307894583065506,0.7834857787244707
11,SWA,2,80,0.2,0.01,10,0.7222280881508276,0.5512358375473663,0.6062015273825622,0.8315640915505922,0.7919125810787121,0.8112541155342711
12,SWA,2,120,0,0.001,10,0.626887384760989,0.44947413403391,0.5043135465031322,0.8368952405926314,0.7459825863378718,0.7888281274137239
13,SWA,2,120,0,0.01,10,0.7352603847837019,0.5559044935553593,0.6105368848380069,0.8286927509857446,0.7982820078303045,0.81320316685517
14,SWA,2,120,0.1,0.001,10,0.6276090243928455,0.4309039282881886,0.48393749263294994,0.8360709377658531,0.7465669374159996,0.7887880471692288
15,SWA,2,120,0.1,0.01,10,0.718114112268702,0.5590158293230464,0.6067705351925965,0.8231591448931116,0.810027464500672,0.8165405118840748
16,SWA,2,120,0.2,0.001,10,0.627177965961572,0.43720532938092127,0.48849634669163317,0.833700583279326,0.7517092269035236,0.7905847647727622
17,SWA,2,120,0.2,0.01,10,0.71608601489844,0.573736777764071,0.6142534120591788,0.8256908410763847,0.799684450417811,0.8124795915338261
18,SWA,3,40,0,0.001,10,0.5597933933658491,0.39188756195364377,0.4435870889796724,0.8416993640914626,0.727049611406533,0.7801849819720961
19,SWA,3,40,0,0.01,10,0.6812937360227774,0.46726117720360705,0.5092309813438164,0.808161038016128,0.7788815520364635,0.7932512051419389
20,SWA,3,40,0.1,0.001,10,0.54365685592062,0.33138790722746164,0.3816041947697231,0.8352052135330006,0.7039677438204873,0.7639915020452168
21,SWA,3,40,0.1,0.01,10,0.593899968069461,0.38506814053470306,0.440281281907759,0.8202016182517575,0.722666978320575,0.7683514025659346
22,SWA,3,40,0.2,0.001,10,0.5023432672999856,0.30883127612751377,0.3589837501947147,0.8349127182044888,0.6847425933500847,0.7524078592526006
23,SWA,3,40,0.2,0.01,10,0.5457449811829651,0.3678448533181187,0.42094202444863443,0.8308191841980653,0.7176999941564892,0.77012791572611
24,SWA,3,80,0,0.001,10,0.6225756212702275,0.45033090262721825,0.5032192477944905,0.8452933865375809,0.7550984631566645,0.7976543209876543
25,SWA,3,80,0,0.01,10,0.6762320106034454,0.5046293049249855,0.5487833962763052,0.8302954898911353,0.7799333839770934,0.8043268651319754
26,SWA,3,80,0.1,0.001,10,0.5822480665315721,0.43907417345345884,0.48521603833173993,0.8442298969740167,0.7613510196926313,0.8006513857309654
27,SWA,3,80,0.1,0.01,10,0.589262905619072,0.4414714329418558,0.4878844860754015,0.8261665719517586,0.7645649506223339,0.7941729893778452
